X,Y,COMMUNITY,RATING,DATE_RISK,COMMID,COMMTYPE,FPZONE,FMZONE,LGA,ALCOUNCIL,POPULATION,MUNSPROV,MUNSTYPE,FUELREDUC,FIREBREAK,FIREPLAN,LATITUDE,LONGITUDE
132.7694583333,-23.9497361111,Motnas,Low,2020/06/30,"106",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"6",Tjuwanpa Outstation Resource Centre Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.949736000000001,132.769457999999986
132.44114,-21.61391,Mount Barkly,Moderate,2020/06/30,"109",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-21.613910000000001,132.441139999999990
134.43241,-13.80018,Mount Catt,Moderate,2020/06/30,"629",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,"10",Roper Gulf Regional Council,Local Government Association,Yes,Yes,No,-13.800179999999999,134.432410000000004
134.17191,-13.53259,Mount Jean,Moderate,2020/06/30,"957",Family Outstation,No,Arnhem,Roper Gulf Regional Council,Northern Land Council,,Not Funded In FY19/20,Not Funded In FY19/20,No,No,No,-13.532590000000001,134.171909999999997
131.27319,-23.26605,Mount Liebig,Moderate,2020/06/30,"112",Major,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"199",MacDonnell Regional Council,Local Government Association,Yes,Yes,Yes,-23.266050000000000,131.273190000000000
133.8700138889,-23.6675138889,Mount Nancy,Moderate,2020/06/30,"113",Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,"24",Tangentyere Council Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.667514000000001,133.870013999999998
133.87181,-24.39416,Mount Peachy,Moderate,2020/06/30,"790",Family Outstation,No,Alice Springs,MacDonnell Regional Council,Central Land Council,"10",MacDonnell Regional Council,Local Government Association,Yes,Yes,No,-24.394159999999999,133.871810000000011
133.62279,-23.54198,Mount Twellar,Low,2020/06/30,"875",Family Outstation,Yes,Alice Springs,MacDonnell Regional Council,Central Land Council,"20",Ingkerreke Outstations Resource Services Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,Yes,-23.541979999999999,133.622790000000009
133.8741249966,-23.7167916667,Mpwetyerre,Moderate,2020/06/30,"108",Town Camp,No,ERA,Alice Springs Town Council,Central Land Council,"13",Tangentyere Council Aboriginal Corporation,Aboriginal Corporation,Yes,Yes,No,-23.716792000000002,133.874124999999992
135.19891,-22.9564,Mt Eaglebeak,Low,2020/06/30,"855",Family Outstation,No,Alice Springs,Central Desert Regional Council,Central Land Council,"30",Central Desert Regional Council,Local Government Association,Yes,Yes,No,-22.956399999999999,135.198910000000012
